page,label,stem_path,option_1_path,option_2_path,option_3_path,option_4_path,option_5_path,option_6_path
1,item_11,item_11/item_11_stem.png,item_11/item_11_option_1.png,item_11/item_11_option_2.png,item_11/item_11_option_3.png,item_11/item_11_option_4.png,item_11/item_11_option_5.png,item_11/item_11_option_6.png
2,item_12,item_12/item_12_stem.png,item_12/item_12_option_1.png,item_12/item_12_option_2.png,item_12/item_12_option_3.png,item_12/item_12_option_4.png,item_12/item_12_option_5.png,item_12/item_12_option_6.png
3,item_13,item_13/item_13_stem.png,item_13/item_13_option_1.png,item_13/item_13_option_2.png,item_13/item_13_option_3.png,item_13/item_13_option_4.png,item_13/item_13_option_5.png,item_13/item_13_option_6.png
4,item_14,item_14/item_14_stem.png,item_14/item_14_option_1.png,item_14/item_14_option_2.png,item_14/item_14_option_3.png,item_14/item_14_option_4.png,item_14/item_14_option_5.png,item_14/item_14_option_6.png
5,item_15,item_15/item_15_stem.png,item_15/item_15_option_1.png,item_15/item_15_option_2.png,item_15/item_15_option_3.png,item_15/item_15_option_4.png,item_15/item_15_option_5.png,item_15/item_15_option_6.png
6,item_16,item_16/item_16_stem.png,item_16/item_16_option_1.png,item_16/item_16_option_2.png,item_16/item_16_option_3.png,item_16/item_16_option_4.png,item_16/item_16_option_5.png,item_16/item_16_option_6.png
7,item_17,item_17/item_17_stem.png,item_17/item_17_option_1.png,item_17/item_17_option_2.png,item_17/item_17_option_3.png,item_17/item_17_option_4.png,item_17/item_17_option_5.png,item_17/item_17_option_6.png
8,item_18,item_18/item_18_stem.png,item_18/item_18_option_1.png,item_18/item_18_option_2.png,item_18/item_18_option_3.png,item_18/item_18_option_4.png,item_18/item_18_option_5.png,item_18/item_18_option_6.png
9,item_19,item_19/item_19_stem.png,item_19/item_19_option_1.png,item_19/item_19_option_2.png,item_19/item_19_option_3.png,item_19/item_19_option_4.png,item_19/item_19_option_5.png,item_19/item_19_option_6.png
10,item_20,item_20/item_20_stem.png,item_20/item_20_option_1.png,item_20/item_20_option_2.png,item_20/item_20_option_3.png,item_20/item_20_option_4.png,item_20/item_20_option_5.png,item_20/item_20_option_6.png
11,item_21,item_21/item_21_stem.png,item_21/item_21_option_1.png,item_21/item_21_option_2.png,item_21/item_21_option_3.png,item_21/item_21_option_4.png,item_21/item_21_option_5.png,item_21/item_21_option_6.png
12,sample_c,sample_c/sample_c_stem.png,sample_c/sample_c_option_1.png,sample_c/sample_c_option_2.png,sample_c/sample_c_option_3.png,sample_c/sample_c_option_4.png,sample_c/sample_c_option_5.png,sample_c/sample_c_option_6.png
13,item_22,item_22/item_22_stem.png,item_22/item_22_option_1.png,item_22/item_22_option_2.png,item_22/item_22_option_3.png,item_22/item_22_option_4.png,item_22/item_22_option_5.png,item_22/item_22_option_6.png
14,item_23,item_23/item_23_stem.png,item_23/item_23_option_1.png,item_23/item_23_option_2.png,item_23/item_23_option_3.png,item_23/item_23_option_4.png,item_23/item_23_option_5.png,item_23/item_23_option_6.png
15,item_24,item_24/item_24_stem.png,item_24/item_24_option_1.png,item_24/item_24_option_2.png,item_24/item_24_option_3.png,item_24/item_24_option_4.png,item_24/item_24_option_5.png,item_24/item_24_option_6.png
16,item_25,item_25/item_25_stem.png,item_25/item_25_option_1.png,item_25/item_25_option_2.png,item_25/item_25_option_3.png,item_25/item_25_option_4.png,item_25/item_25_option_5.png,item_25/item_25_option_6.png
17,item_26,item_26/item_26_stem.png,item_26/item_26_option_1.png,item_26/item_26_option_2.png,item_26/item_26_option_3.png,item_26/item_26_option_4.png,item_26/item_26_option_5.png,item_26/item_26_option_6.png
18,item_27,item_27/item_27_stem.png,item_27/item_27_option_1.png,item_27/item_27_option_2.png,item_27/item_27_option_3.png,item_27/item_27_option_4.png,item_27/item_27_option_5.png,item_27/item_27_option_6.png
19,item_28,item_28/item_28_stem.png,item_28/item_28_option_1.png,item_28/item_28_option_2.png,item_28/item_28_option_3.png,item_28/item_28_option_4.png,item_28/item_28_option_5.png,item_28/item_28_option_6.png
20,item_29,item_29/item_29_stem.png,item_29/item_29_option_1.png,item_29/item_29_option_2.png,item_29/item_29_option_3.png,item_29/item_29_option_4.png,item_29/item_29_option_5.png,item_29/item_29_option_6.png
21,item_30,item_30/item_30_stem.png,item_30/item_30_option_1.png,item_30/item_30_option_2.png,item_30/item_30_option_3.png,item_30/item_30_option_4.png,item_30/item_30_option_5.png,item_30/item_30_option_6.png
22,item_31,item_31/item_31_stem.png,item_31/item_31_option_1.png,item_31/item_31_option_2.png,item_31/item_31_option_3.png,item_31/item_31_option_4.png,item_31/item_31_option_5.png,item_31/item_31_option_6.png
23,item_32,item_32/item_32_stem.png,item_32/item_32_option_1.png,item_32/item_32_option_2.png,item_32/item_32_option_3.png,item_32/item_32_option_4.png,item_32/item_32_option_5.png,item_32/item_32_option_6.png
24,item_33,item_33/item_33_stem.png,item_33/item_33_option_1.png,item_33/item_33_option_2.png,item_33/item_33_option_3.png,item_33/item_33_option_4.png,item_33/item_33_option_5.png,item_33/item_33_option_6.png
25,item_34,item_34/item_34_stem.png,item_34/item_34_option_1.png,item_34/item_34_option_2.png,item_34/item_34_option_3.png,item_34/item_34_option_4.png,item_34/item_34_option_5.png,item_34/item_34_option_6.png
26,item_35,item_35/item_35_stem.png,item_35/item_35_option_1.png,item_35/item_35_option_2.png,item_35/item_35_option_3.png,item_35/item_35_option_4.png,item_35/item_35_option_5.png,item_35/item_35_option_6.png
27,item_36,item_36/item_36_stem.png,item_36/item_36_option_1.png,item_36/item_36_option_2.png,item_36/item_36_option_3.png,item_36/item_36_option_4.png,item_36/item_36_option_5.png,item_36/item_36_option_6.png
28,item_37,item_37/item_37_stem.png,item_37/item_37_option_1.png,item_37/item_37_option_2.png,item_37/item_37_option_3.png,item_37/item_37_option_4.png,item_37/item_37_option_5.png,item_37/item_37_option_6.png
29,item_38,item_38/item_38_stem.png,item_38/item_38_option_1.png,item_38/item_38_option_2.png,item_38/item_38_option_3.png,item_38/item_38_option_4.png,item_38/item_38_option_5.png,item_38/item_38_option_6.png
30,item_39,item_39/item_39_stem.png,item_39/item_39_option_1.png,item_39/item_39_option_2.png,item_39/item_39_option_3.png,item_39/item_39_option_4.png,item_39/item_39_option_5.png,item_39/item_39_option_6.png
31,item_40,item_40/item_40_stem.png,item_40/item_40_option_1.png,item_40/item_40_option_2.png,item_40/item_40_option_3.png,item_40/item_40_option_4.png,item_40/item_40_option_5.png,item_40/item_40_option_6.png
32,item_41,item_41/item_41_stem.png,item_41/item_41_option_1.png,item_41/item_41_option_2.png,item_41/item_41_option_3.png,item_41/item_41_option_4.png,item_41/item_41_option_5.png,item_41/item_41_option_6.png
33,item_42,item_42/item_42_stem.png,item_42/item_42_option_1.png,item_42/item_42_option_2.png,item_42/item_42_option_3.png,item_42/item_42_option_4.png,item_42/item_42_option_5.png,item_42/item_42_option_6.png
34,item_43,item_43/item_43_stem.png,item_43/item_43_option_1.png,item_43/item_43_option_2.png,item_43/item_43_option_3.png,item_43/item_43_option_4.png,item_43/item_43_option_5.png,item_43/item_43_option_6.png
35,item_44,item_44/item_44_stem.png,item_44/item_44_option_1.png,item_44/item_44_option_2.png,item_44/item_44_option_3.png,item_44/item_44_option_4.png,item_44/item_44_option_5.png,item_44/item_44_option_6.png
36,item_45,item_45/item_45_stem.png,item_45/item_45_option_1.png,item_45/item_45_option_2.png,item_45/item_45_option_3.png,item_45/item_45_option_4.png,item_45/item_45_option_5.png,item_45/item_45_option_6.png
37,item_46,item_46/item_46_stem.png,item_46/item_46_option_1.png,item_46/item_46_option_2.png,item_46/item_46_option_3.png,item_46/item_46_option_4.png,item_46/item_46_option_5.png,item_46/item_46_option_6.png
38,item_47,item_47/item_47_stem.png,item_47/item_47_option_1.png,item_47/item_47_option_2.png,item_47/item_47_option_3.png,item_47/item_47_option_4.png,item_47/item_47_option_5.png,item_47/item_47_option_6.png
39,item_48,item_48/item_48_stem.png,item_48/item_48_option_1.png,item_48/item_48_option_2.png,item_48/item_48_option_3.png,item_48/item_48_option_4.png,item_48/item_48_option_5.png,item_48/item_48_option_6.png
40,item_49,item_49/item_49_stem.png,item_49/item_49_option_1.png,item_49/item_49_option_2.png,item_49/item_49_option_3.png,item_49/item_49_option_4.png,item_49/item_49_option_5.png,item_49/item_49_option_6.png
41,item_50,item_50/item_50_stem.png,item_50/item_50_option_1.png,item_50/item_50_option_2.png,item_50/item_50_option_3.png,item_50/item_50_option_4.png,item_50/item_50_option_5.png,item_50/item_50_option_6.png
